id,user_name,created_at,text
1504502827670024205,Kellogg Company,2022-03-17 17:00:01+00:00,"b""We're still excited about this milestone for our partner of 15 years! Collaborating with @Act4HlthyKids and other c\xe2\x80\xa6 https://t.co/3wnQJYXtuh"""
1504125337810178050,Kellogg Company,2022-03-16 16:00:00+00:00,"b'Create #BetterDays for your family w/ these kid-friendly tips that use our delicious and nutritious cereals, dairy\xe2\x80\xa6 https://t.co/Yp5C1Fpqp3'"
1504095142747455495,Kellogg Company,2022-03-16 14:00:01+00:00,b'Our delicious + nutritious cereals help to build a better breakfast + create #BetterDays! Boost your morning routin\xe2\x80\xa6 https://t.co/iXPe5dwynu'
1503772974373031940,Kellogg Company,2022-03-15 16:39:50+00:00,b'We\xe2\x80\x99re honored that @ethisphere has again recognized Kellogg on its 2022 list of #WorldsMostEthicalCompanies.\xe2\x80\xa6 https://t.co/fNweh96RpF'
1501585284386930692,Kellogg Company,2022-03-09 15:46:44+00:00,"b'We are saddened by recent events in Ukraine. At Kellogg, we value inclusivity, respect &amp; tolerance. Our ESG strateg\xe2\x80\xa6 https://t.co/2ALlgI2hGO'"
1497195428038815746,Kellogg Company,2022-02-25 13:03:01+00:00,"b""Kellogg Company is marking 116 years this week, and this cat's been around for 70 of them! Looking Gr-r-reat, Tony! https://t.co/i4cqwkYXE7"""
1496915330244960259,Kellogg Company,2022-02-24 18:30:00+00:00,b'An exciting milestone for our partner of 15 years! Collaborating with @Act4HlthyKids and other community orgs to ma\xe2\x80\xa6 https://t.co/EJCxwuOyDA'
1496853528559693831,Kellogg Company,2022-02-24 14:24:26+00:00,b'Kellogg is passionate about creating #BetterDays for those in need + is proud to stand side-by-side w/\xe2\x80\xa6 https://t.co/3SuNrvEDRl'
1496477614357237761,Kellogg Company,2022-02-23 13:30:41+00:00,b'Kellogg Chairman &amp; CEO Steve Cahillane: We have an effective strategy that is working.  We have a portfolio that ha\xe2\x80\xa6 https://t.co/amBV51H0ow'
1496475782553780229,Kellogg Company,2022-02-23 13:23:24+00:00,"b'Kellogg CFO Amit Banati:  The markets we\xe2\x80\x99re in, the strength of our portfolio, the quality of our commercial progra\xe2\x80\xa6 https://t.co/lPofzpRwWo'"
1496474673852395530,Kellogg Company,2022-02-23 13:19:00+00:00,"b'Kellogg CFO Amit Banati:  Today, Emerging Markets account for almost a quarter of our company\xe2\x80\x99s net sales, more tha\xe2\x80\xa6 https://t.co/fnZmuVnXTh'"
1496471669971595265,Kellogg Company,2022-02-23 13:07:03+00:00,"b'Kellogg Chairman &amp; CEO Steve Cahillane: And there\xe2\x80\x99s also our Better Days ESG Strategy, that ensures we are not just\xe2\x80\xa6 https://t.co/8Nb2EYjCYG'"
1496471471903977483,Kellogg Company,2022-02-23 13:06:16+00:00,"b'Kellogg Chairman &amp; CEO Steve Cahillane: Our world-class Brands including Pringles, Cheez-It, Pop-Tarts, Rice Krispi\xe2\x80\xa6 https://t.co/mIeqFgeRCB'"
1496471258074075143,Kellogg Company,2022-02-23 13:05:25+00:00,b'Kellogg Chairman &amp; CEO Steve Cahillane: We have been effective at pivoting our innovations &amp; marketing around where\xe2\x80\xa6 https://t.co/GW1M1MLAqK'
1496470881668943880,Kellogg Company,2022-02-23 13:03:55+00:00,"b'Kellogg Chairman &amp; CEO Steve Cahillane: We have dramatically re-shaped our portfolio over the past decade, and even\xe2\x80\xa6 https://t.co/jlzw0UUwiv'"
1496462094253842432,Kellogg Company,2022-02-23 12:29:00+00:00,b'Kellogg Chairman &amp; CEO Steve Cahillane and CFO Amit Banati will be addressing the #CAGNY 2022 Conference today at 8\xe2\x80\xa6 https://t.co/Cr14DTiJQj'
1496228555889553410,Kellogg Company,2022-02-22 21:01:00+00:00,b'Kellogg Chairman &amp; CEO Steve Cahillane and CFO Amit Banati will be addressing the #CAGNY 2022 Conference tomorrow a\xe2\x80\xa6 https://t.co/MDGiQwFKrZ'
1496105049952509955,Kellogg Company,2022-02-22 12:50:14+00:00,"b""The bad news: You are out of Cheez-it crackers.\nThe good news: The packaging is 100% recyclable.\nHere's how... https://t.co/IO9yNMG3iV"""
